"Time (s), Position (m)"
0,0.4927999973297119
0.05,0.4927999973297119
0.1,0.4927999973297119
0.15,0.4927999973297119
0.2,0.4927999973297119
0.25,0.4927999973297119
0.3,0.4927999973297119
0.35,0.4927999973297119
0.4,0.4927999973297119
0.45,0.4927999973297119
0.5,0.4927999973297119
0.55,0.4927999973297119
0.6,0.4927999973297119
0.65,0.4927999973297119
0.7,0.4927999973297119
0.75,0.4927999973297119
0.8,0.4927999973297119
0.85,0.4927999973297119
0.9,0.49309998750686646
0.95,0.49309998750686646
1.0,0.49309998750686646
1.05,0.49309998750686646
1.1,0.49309998750686646
1.15,0.49309998750686646
1.2,0.4927999973297119
1.25,0.49309998750686646
1.3,0.4927999973297119
1.35,0.4934999942779541
1.4,0.49309998750686646
1.45,0.4018000066280365
1.5,0.3970000147819519
1.55,0.39629998803138733
1.6,0.39629998803138733
1.65,0.3880000114440918
1.7,0.37700000405311584
1.75,0.3594000041484833
1.8,0.33730000257492065
1.85,0.31119999289512634
1.9,0.2856000065803528
1.95,0.2615000009536743
2.0,0.2442999929189682
2.05,0.24459999799728394
2.1,0.24529999494552612
2.15,0.24500000476837158
2.2,0.24390000104904175
2.25,0.2442999929189682
2.3,0.2653000056743622
2.35,0.2890999913215637
2.4,0.3125
2.45,0.33629998564720154
2.5,0.35910001397132874
2.55,0.3765999972820282
2.6,0.3889999985694885
2.65,0.3910999894142151
2.7,0.38179999589920044
2.75,0.3634999990463257
2.8,0.3391000032424927
2.85,0.3100999891757965
2.9,0.2808000147342682
2.95,0.25429999828338623
3.0,0.24390000104904175
3.05,0.24459999799728394
3.1,0.24390000104904175
3.15,0.243599995970726
3.2,0.25839999318122864
3.25,0.28360000252723694
3.3,0.31150001287460327
3.35,0.335999995470047
3.4,0.35659998655319214
3.45,0.3700999915599823
3.5,0.37389999628067017
3.55,0.367000013589859
3.6,0.35179999470710754
3.65,0.32910001277923584
3.7,0.30250000953674316
3.75,0.275299996137619
3.8,0.25189998745918274
3.85,0.24500000476837158
3.9,0.24529999494552612
3.95,0.24459999799728394
4.0,0.24390000104904175
4.05,0.24390000104904175
4.1,0.2628999948501587
4.15,0.2904999852180481
4.2,0.3179999887943268
4.25,0.34459999203681946
4.3,0.36559998989105225
4.35,0.37700000405311584
4.4,0.3741999864578247
4.45,0.36010000109672546
4.5,0.33869999647140503
4.55,0.31150001287460327
4.6,0.2824999988079071
4.65,0.2549999952316284
4.7,0.24500000476837158
4.75,0.24500000476837158
4.8,0.24390000104904175
4.85,0.24390000104904175
4.9,0.2442999929189682
4.95,0.24740000069141388
